a,4
b,3
c,3
d,3
e,5
f,2
g,3
h,3
i,5
j,3
k,3
l,3
m,3
n,3
o,5
p,3
q,2
r,3
s,3
t,3
u,5
v,3
w,3
x,2
y,2
z,3
A,5
B,3
C,3
D,3
E,5
F,3
G,3
H,3
I,5
J,3
K,3
L,3
M,2
N,3
O,5
P,3
Q,2
R,3
S,3
T,3
U,5
V,3
W,3
X,3
Y,3
Z,3
1,4
2,1
3,3
4,3
5,3
6,3
7,3
8,3
9,3
0,4
